Conc_Nr;Composer;WorkNr;Modern Ed;Concordances;Comment
Conc_11;V.Gaultier;;;F-PnVmf51 / 27v - F-Pn48 / 124v - F-AIXm17 / 101v - US-Cn7Q5 / 167 - D-Usch133b / 90v (mand) - D-Usch239 / 36v (mand) - GB-Mr / 43 - RUS-SPanON124 / 24v (OT);
Conc_12;Pinel;CLFPin, N°60;;"GB-En9451 / 20v - A-ETgoëssV / 41v - F-Pn6213 / 1 - F-AIXm17 / 102r - F-B279152 / 6 (3) - A-Wn17706 / 7r - D-SWl_641 / 21 - F-Pn48 / 69v - F-PnVmf51 / 17v - D-Mbs21646 / 19r (2) - RA-BAn / 14r - PL-Kj40626 / 17v (gt) - D-DS17 / 19 (kb) - A-Wn1813 / 3r (3) (violin) - US-Rm973 ""Clorys lass dich nit verdriessen""";cf. Conc_1735
Conc_13;;;;D-ROu54 / 221 - F-AIXm17 / 102v - F-Pn48 / 97r - F-Pn89 / 41;
Conc_14;Strobel;;;D-Bsa4060 / 74v - F-Pn48 / 109v;
Conc_15;V.Gaultier or D.Gaultier;CLFVGa, N°20 - CLFDGa, N°102;;NL-At / 24v - GB-Balcarres / 86 (2) - F-PnVmb7 / 1 - A-GÖ2 / 85v - D-Bsa4060 / 76v - D-LEm6-24 / 46v - PL-LZu3779 / 9v - S-LuG34 / 2r - S-LuG37 / 9r - F-Pn823 / 21v - GB-Ob576 / 14 - GB-Ob618 / 14 - F-Pn6211 / 2v - F-Pn6212 / 39v - F-Pn6212 / 40 - F-Pn6214 / 23r - F-PnVm7-675 / 115 (gt) - Perrine1680 / 41 - F-PnVmd15 / 41v - F-PnVmf51 / 3v - Perrine1680 Méthode / 51 - D-RpAN62 / 34v - F-AIXm17 / 103v - D-ROu54 / 210 - F-B279152 / 2 - D-SWl_640 / 74 (Angélique) - D-SWl_641 / 143 - GB-LblSloane2923 / 103v - S-Ssmf1 / 1v - S-Ssmf1 / 67r - A-Wn17706 / 11r - S-K4b / 15v (kb) - S-Sk2 / 34 (kb) - S-Sk176 / 5v (kb);
Conc_16;D.Gaultier;CLFDGa, N°93;;F-PnVmb7 / 28 - D-B40601 / 78v - F-PnVm7-370 / 20v - A-Wengel / 12 (1) - A-KR83a / 8v - D-Bsa4060 / 54v - D-LEm6-24 / 137v - F-Pn823 / 93v - F-Pn6214 / 49v - F-PnVmf51 / 45v - D-RpAN62 / 9v - Rhetorique / 244 (Narcisse) - D-ROu54 / 369 - F-AIXm17 / 103v - F-B279153 / 119 - Perrine1680 / 60;Contrepartie: Conc_4188
Conc_17;Gaultier or Du But;;;F-PnVmb7 / 158 - F-PnVmb7 / 159 (Double) - A-ETgoëssI / 79v - A-ETgoëssI / 80r (Double) - PL-Kj40626 / 53v - D-Bsa4060 / 254v - D-Bsa4060 / 256v (Double) - D-LEm6-24 / 133v - D-LEm6-24 / 134r (Double) - D-RpAN62 / 29v - GB-Ob617 / 106 - GB-Ob617 / 108 (Double) - CZ-NlobKk80 / 58 - CZ-NlobKk80 / 60 (Double) - CZ-NlobKk84 / 14v - F-AIXm17 / 104r-1 - F-AIXm17 / 104r-2 (Double) - D-SWl_641 / 117 - PL-Pu7034 / 24r (Double);
Conc_18;V.Gaultier or D.Gaultier;CLFVGa, N°31 - CLFDGa, N°58;;F-PnVmb7 / 153 - F-PnVm7-370 / 152v - A-ETgoëssI / 71v - CZ-NlobKk80 / 74 - D-RpAN62 / 23v - Rhetorique / 46 (Diane) - D-ROu54 / 362 - F-AIXm17 / 104v;
Conc_19;Gaultier;;TREE Ed. Klosterneuburg Lute Book (Michael Treder);F-PnVmb7 / 156 - F-PnVm7-370 / 153v - A-ETgoëssII / 34v (no Double) - A-ETgoëssIV / 2v - US-CAh174 / 68 (no Double) - A-KN1255 / 27v (no Double) - PL-Kj40620 / 24v - D-Bsa4060 / 249v - D-LEm6-24 / 134v (no Double) - F-Pn823 / 53v - GB-Ob617 / 102 - PL-Pu7033 / 54 (no Double)) - PL-Pu7034 / 29v - PL-Pu7034 / 30r - CZ-NlobKk80 / 66 - CZ-NlobKk84 / 73v - F-AIXm17 / 104v (2)-105r - D-SWl_641 / 116;
Conc_20;D.Gaultier;CLFDGa, N°59;;F-PnVmb7 / 149 - F-Pn169 / 122 (Angélique) - F-PnVm7-370 / 151v - B-Bc5616 / 70v - A-ETgoëssI / 65v - A-ETgoëssII / 35v - GB-Ob617 / 98 - F-Pn6212 / 51v - CZ-NlobKk84 / 76v - F-AIXm17 / 105r - Rhetorique / 48 (La Coquette Virtuose) - PL-Pu7034 / 30v;Contrepartie: Conc_5384 (C dur)
Conc_21;D.Gaultier;CLFDGa, N°61;;F-PnVm7-370 / 156v - A-ETgoëssII / 30v - US-CAh174 / 43 - US-CAh174 / 54 - CZ-NlobKk80 / 72 - D-RpAN62 / 28v - F-AIXm17 / 105v - Rhetorique / 52 (Atalante) - D-Bsa4060 / 252v;Contrepartie: Conc_5382 (C dur)
Conc_22;V.Gaultier or D.Gaultier;CLFVGa, N°21 - CLFDGa, N°66;;D-B40068 / 65v (1) - D-B40068 / 72v (Double) - F-PnVm7-370 / 181v - F-PnVm7-370 / 182v (Double) - A-ETgoëssI / 48v (2) - A-ETgoëssII / 32v (+ Double) - D-Bsa4060 / 319v - D-LEm6-24 / 81v - D-LEm6-24 / 82r (Double) - F-Pn823 / 52v - CZ-NlobKk84 / 78v - F-AIXm17 / 105v - Rhetorique / 70 - F-B279153 / 84;
Conc_23;Gaultier;;;B-Br276 / 97v - F-PnVm7-370 / 175 (Prelude de La Baulle) - A-ETgoëssII / 27v - F-AIXm17 / 106r (1);
Conc_24;D.Gaultier;CLFDGa, N°56;;F-AIXm17 / 106r (2) - GB-LANh / B1 - Rhetorique / 43;
Conc_25;Gaultier;;;F-PnVmb7 / 150 - F-PnVm7-370 / 157v - A-ETgoëssI / 72v - GB-Ob617 / 126 - CZ-NlobKk80 / 70 - F-AIXm17 / 106v - D-SWl_641 / 118 - D-Bsa4060 / 264v;Contrepartie: Conc_5383 (C dur)
Conc_26;Gaultier;;;F-AIXm17 / 106v - D-ROu54 / 363 - D-Bsa4060 / 265r;
Conc_27;Gaultier;;;A-ETgoëssI / 18v - A-ETgoëssII / 37v;
Conc_28;Du But Pierre;CLFDub, N°127;;F-AIXm17 / 108r - F-B279153 / 86;
Conc_29;D.Gaultier;CLFDGa, N°57;;F-PnVmb7 / 148 - F-PnVm7-370 / 131v - B-Bc5616 / 65v - A-ETgoëssI / 78v - D-Bsa4060 / 257v - US-CAh174 / 52 - US-CAh174 / 66 - PL-Kj40626 / 55v - GB-Ob617 / 96 - F-Pn48 / 92v - F-Pn6212 / 52v - PL-Pu7034 / 26v - CZ-NlobKk80 / 56 - F-AIXm17 / 108v - Rhetorique / 44 ('Andromède') - D-OB / 87 (kb);
Conc_30;D.Gaultier;CLFDGa, N°60;;F-Pn169 / 137 (Angélique, a moll) - F-PnVm7-370 / 154v - B-Bc5616 / 71v - A-ETgoëssII / 28v - US-CAh174 / 53 - GB-Ob617 / 128 - F-Pn6212 / 16v (Angélique, a moll) - CZ-NlobKk80 / 64 - CZ-NlobKk84 / 75v - F-AIXm17 / 109r - Rhetorique / 50 - D-RpAN62 / 22v - D-RpAN62 / 24v - D-OB / 88 (kb) - PL-Pu7034 / 24v;
Conc_31;V.Gaultier (Dubut?);CLFVGa, N°39 - CLFVGa, N°75;;F-PnVmb7 / 152 - B-Bc5616 / 19v - B-Bc5616 / 44v - A-ETgoëssII / 29v - US-CAh174 / 44 - US-CAh174 / 55 - CZ-NlobKk80 / 80 - GB-Ob617 / 110 - F-AIXm17 / 109r - GB-LANh / B1v - D-SWl_641 / 119 - F-Pn89ter / 19v (kb) - D-Bsa4060 / 321v (2.p);Contrepartie: Conc_3822
Conc_32;V.Gaultier;CLFVGa, N°7 - CLFVGa, N°210;;B-Bc5616 / 67v - F-AIXm17 / 109v (1) - F-B279152 / 210 - D-Bsa4060 / 308v;
Conc_33;V.Gaultier;CLFVGa, N°91;;A-ETgoëssII / 31v - US-CAh174 / 37 - GB-Ob617 / 118 - CZ-NlobKk80 / 54 - F-AIXm17 / 109v;
Conc_34;D.Gaultier;CLFDGa, N°63;;D-B40068 / 73r - B-Bc5616 / 28v - A-ETgoëssI / 59v - D-Bsa4060 / 310v - PL-Kj40626 / 54v - F-AIXm17 / 110r (1) - Rhetorique / 64 - F-B279153 / 78 - GB-Lam614 / 28r (only title with part of measure 15 on p.26);
Conc_35;D.Gaultier;CLFDGa, N°68;;F-PnVm7-370 / 187v - A-ETgoëssI / 61v - A-ETgoëssII / 22v - F-AIXm17 / 110r (2) - Rhetorique / 84 (Artémise) - D-Bsa4060 / 317v;
Conc_36;D.Gaultier;CLFDGa, N°64;;F-AIXm17 / 110v - Rhetorique / 66;
Conc_37;D.Gaultier;CLFDGa, N°37;;Ballet Royal 1654 - US-CAh174 / 3 - GB-LblAdd16889 / 100r - F-PnVm6-5 / 2.2 - F-AIXm17 / 110v;
Conc_38;D.Gaultier;CLFVGa, N°22;;F-AIXm17 / 111v - B-Bc5616 / 8v - D-ROu54 / 351;
Conc_39;D.Gaultier;CLFVGa, N°23???;;F-AIXm17 / 112r (1);
Conc_40;V.Gaultier;CLFVGa, N°33 - CLFVGa, N°80;;F-PnVmb7 / 25 (La petite Bergère) - D-B40601 / 77v - B-Bc5616 / 6v - D-Bsa4060 / 7v - D-DS1655 / 41v - D-LEm6-24 / 141v - F-Pn823 / 97v - GB-Ob617 / 16 - Perrine1680 / 68 - GB-LANh / D2v - F-Pn89ter / 61v (Clav) - F-AIXm17 / 112r (2,) - A-Wgm7763-92 / 35v - A-Wn17706 / 15v - D-SWl_640 / 54 (Angélique) - A-KlaM73 / 63r (violin);
Conc_41;;;;D-Mbs15031 / 3 - F-AIXm17 / 112v (1);
Conc_42;Hudson;;;D-LEm6-24 / 99r - GB-LblAdd16889 / 104v (2) - F-AIXm17 / 112v (2) - B-Gu3898-2 / 37v - GB-LblSloane2923 / 20v (2);
Conc_43;Du But;CLFDub, N°33;;F-PnVmb7 / 60 - PL-Kj40593 / 4 - F-Pn6212 / 69v - F-Pn6213 / 12 - F-AIXm17 / 113r - D-SWl_641 / 66 - US-CAh174 / 61;
Conc_44;Pinel;CLFPin, N°74;;D-ROu54 / 210 - F-AIXm17 / 113v;
Conc_45;Giovanni Battista Domenico;CLFVal, N°33;;Abondante1587 / 58 - A-KR64 / 28v - A-KR81 / 51r - A-KR81 / 152v (2) - A-KR81 / 163r (gt, F dur) - A-Wn1586 / 26v - Barbetta1585 / 14 - Barberis(IX)1549 / N°17 (Vesentino Bergamasca) - Becchi1568 / 49r (Pass'e mezzo della Saracena) - Besard1603 / 106v - Besard1617 / 49 - B-Br275 / 12r - Calvi1646 / 21 (gt) - DaMilano1536C / 24r - CDN-Mc / 39r - CH-BuF.IX.70 / 288 - CH-BuF.IX.70 / 291 - D-HvonbuschHerhold / 28r (F dur) - Corbetta1639 / 59 (gt) - Costanzo1627 / N°8 (gt) - I-BDGchilesotti / 229 - CZ-PnmXXIIIF174 / 13 (2) - D-B4022 / 14r (2) - D-B4022 / 45v (2, F dur) - D-B40165 / 1 - D-B40264 / 90 - D-BAUk85 / 47 (1, F dur) - D-BAUk85 / 52 (2, F dur) - D-BHove1 / 167r - D-BHove1 / 166r (1) - D-BHove1 / 166r (2) - D-B479 / 1r - D-B479 / 70v - D-Dl_M297 / 174 (F dur) - D-KA1214 / 27 (2) - D-Sl_G.I.4(1) / 27v - D-Sl_G.I.4(1) / 40v (F dur) - D-HsM2768 / 10 (2, F dur) - D-KNhR242 / 203v (2) - D-KNhR242 / 204v (2, F dur) - D-LEm6-15 / V.16v (F dur) - D-LEm6-15 / X.2r (2) - D-LEm6-15 / X.13r - D-LEm6-23 / 118 - D-Lr2000 / 17 - D-Lr2000 / 64 (1) - D-Lr2000 / 64 (2) - D-Mbs1511b / 9 (La Brossanina) - D-Mbs93 / IVv - D-Mbs21646 / 6v (1) - D-Mbs21646 / 6v (2) - D-Mbs21646 / 87v (3) - D-Mbs21646 / 91r (3) - D-Ngm33748-1 / 1v - D-WGuelf18.8 / VIII.9v (2, F dur) - D-WGuelf18.8 / VIII.10r - IRL-Dtc410-1 / 3 - IRL-Dtc408-2 / 104 - IRL-DmZ3213 / 423 - F-AIXm17 / 113v (2) - F-Pn48 / 131v - F-Pn941 / 32r (2) - F-PnF993 / 2r - F-Pn31 / 45v - F-Pn50 / 2r - F-VE711 / 1 - Frescobaldi1635 / 89 - Fuhrmann1615 / 182 - GB-Eu_Coll2073 / 228r - GB-LblAdd31389 / 20 - GB-LblSloane1021 / 68r - GB-LblSloane1021 / 69r (1) - GB-LblSloane1021 / 69r (2) - GB-LblSloane1021 / 69r (3) - Gaspari1661 / 180 - GianoncelliI1650 / 8 - GorzanisTL1564 / E1 - Hove1612 / 54v - I-FnXIX105 / 1r - I-FnXIX106 / 1v (2) - I-Lg774 / 25r - I-TRc1947 / 15 - KapsbergerIC1640 / 31 - LT-Vs285LXXIX / 4 (3, deleted) - LT-Vs285LXXIX / 64v (2) - LT-Vs285LXXIX / 68v - Marchetti1660 / 11 (gt) - Millioni1627 / N°9 (gt) - Millioni1627 / N°15 (gt) - Millioni-Monte1642 / 11 (gt) - Montesardo1606 / 5 (Prima Passacaglie, gt) - Montesardo1606 / 18 (Bergamasca, gt) - NL-Lt1666 / 373r (2) - NL-Lt1666 / 397r (1) - NL-Lt1666 / 397r (2) - NL-Lt1666 / 397v (1) - NL-Lt1666 / 397v (2) - NL-Lt1666 / 397v (3) - NL-Lt1666 / 398r - NL-Ulb RAR MSq1 / 1v (kb) - Piccinini1639 / 16 - PL-Kj40032 / 351 (F dur) - PL-Kj40143 / 99v - PL-LZu3779 / 5r - PL-Lw1985 / 20v - RUS-SPanON124 / 38v - RogerON(6)1711 / 17 (1) - Rossi(IV)1622 / 16 (Suonata Duodecima sopra la Bergamasca) - Sanseverino1622 / 27 (gt) - S-B172 / 10r (2) - S-B172 / 18r - GB-EuAdv5218 / 1 - US-BEm759 / 2r - US-BEm761 / 1 - US-BEm761 / 3 - US-SFscM21M3 / 85 - Uccellini1642 / 40 (Aria Quinta sopra la Bergamasca) - Vallet1615 / 41 - Viadana1610 / 14 - Zannetti1645 / 66;
Conc_46;D.Gaultier;CLFDGa, N°81;;F-AIXm17 / 114r - Rhetorique / 160;
Conc_47;;;;CZ-PnmE36 / 70 - PL-Wn396 / 175v - CZ-BsaE4-1040 / 77v (theorb cister);
Conc_48;Lully;LWV 31/17;;Branles de 1655 - F-Pn823 / 110v - F-AIXm17 / 115r - F-AIXm17 / 116r - NL-HOwfa1667-1 / 42r (1) - RogerON(11)1713 / 9 (3) - RogerON(11)1713 / 9 (2, var);cf. Conc_1474
Conc_49;V.Gaultier;CLFVGa, N°40 - CLFVGa, N°79;;F-PnVm7-370 / 206v - F-PnVmd15 / 186r - F-Pn6213 / 11 - F-Pn6216 / 9r - F-AIXm17 / 116v - F-Pn89ter / 20v (Clav) - GB-LANh / C3v - D-ROu54 / 277 - S-Sk 493b / 33v (kb, Sarabande Henrecy) - GB-Mr / 52;
Conc_50;Hémond (Aymond or Emond) (Du But le Père?);CLFDub, N°16;;A-GÖ2 / 5v - F-B279152 / 168 - F-PnVmb7 / 192 - F-PnVmd15 / 8v - NL-At / 1v;
Conc_51;V.Gaultier;CLFVGa, N°29;;NL-At / 2v - F-PnVmb7 / 188 - D-B40068 / 59r - D-B40600 / 61v - D-Bsa4060 / 182v - A-KR79 / 201v - GB-Ob616 / 82 - F-PVmd15 / 9v - CZ-NlobKk80 / 18 - D-ROu54 / 205;
Conc_52;Du But;CLFDub, N°3;;NL-At / 9v - F-PnVmd15 / 24v;
Conc_53;Du But;CLFDub, N°3a;;NL-At / 10v - F-PnVmd15 / 25v;
Conc_54;Du But;CLFDub, N°41;;F-PnVmb7 / 90 - F-PnThII / 45v (2) - F-PnVmd15 / 26v - F-B279152 / 21 (2) - NL-At / 11v;
Conc_55;Du But;CLFDub, N°40;;F-B279152 / 20 (2) - F-PnVmb7 / 91 - F-PnVmd15 / 27v - F-PnThII / 46r (1) - NL-At / 12v;
Conc_56;Du But;CLFDub, N°118;;F-B279152 / 22 (3) - F-PnVmd15 / 27r - NL-At / 13v;
Conc_57;Du But;CLFDub, N°109;;D-Bsa4060 / 126v - D-SWl_640 / 20 (Angélique) - F-PnThII / 46r (3) - NL-At / 14v - F-PnVmb7 / 94;
Conc_58;Du But;CLFDub, N°54;;D-Bsa4060 / 147v - F-PnVmb7 / 70 - F-PnVmd15 / 103v - NL-At / 18v;
Conc_59;Losy;LosyV, N°4;Vogl, p. 9;NL-At / 19v - F-PnVmd15 / 104v - A-Wn18761 / 40r - D-Bsa4060 / 148v;
Conc_60;V.Gaultier or R.Mesangeau;CLFMes, N°57 - CLFVGa, N°57;;NL-At / 25v - F-PnVm7-370 / 2v - A-GÖ2 / 23v - PL-Kj40626 / 40v - GaultierLivre / 10 - GB-Ob618 / 18 - F-Pn6211 / 8v - F-PVmd15 / 45v - Perrine1680 / 5 - Perrine1680 / 7 - D-ROu54 / 24 - F-B279152 / 3;Conc_4253
Conc_61;;;;NL-At / 26v - B-Bc5616 / 16v - B-Bc5616 / 45v - F-PnVmd15 / 45v;
Conc_62;V.Gaultier;CLFVGa, N°63;;NL-At / 27v - F-PnVmb7 / 4 - D-B40601 / 40v - F-PnVm7-370 / 5v - A-ETgoëssV / 2v - A-GÖ2 / 26v - D-Bsa4060 / 77v - US-CAh174 / 6r - RUS-SPanON124 / 73r - F-Pn823 / 20v - GB-Ob573 / 27v (violin) - GB-Ob618 / 8 - F-Pn6211 / 3 - F-Pn6211 / 8 (Allemande) - F-Pn6212 / 46v - F-Pn6213 / 8 - F-PnVmd15 / 43v - F-Pn89 / 21 - Perrine1680 / 16 - Perrine1680 / 18 - D-RpAN62 / 25v - F-B279152 / 15 - A-Wgm7763-92 / 16v - Rés 89ter (kb) / 63v - D-OB1037 / 143 (kb);
Conc_63;;;;F-Pn110 / 79 - F-Pn48 / 97v;
Conc_64;Du But;CLFDub, N°42;;NL-At / 32v - F-PnVmb7 / 45 - F-B279152 / 48;Contrepartie: Conc_526
Conc_65;V.Gaultier;CLFVGa, N°84;;NL-At / 38v - F-PnVm7-370 / 204v - A-ETgoëssTh / 14r - F-Pn1110 / 31v - F-PnVmd15 / 185v - D-SWl_641 / 169 - GB-Mr / 53;
Conc_66;V.Gaultier;CLFVGa, N°32;;NL-At / 39v - D-B40601 / 192v - F-PnVm7-370 / 201v - B-Br276 / 119v - A-ETgoëssI / 98v - F-PnVmd15 / 187r - F-PnVmf51 / 30v - F-Pn6216 / 8v - D-ROu54 / 276 - D-SWl_641 / 166 - GB-Mr / 58;
Conc_67;;;;PL-Wn396 / 116v - PL-Wu2010 / 264;
Conc_68;S.L.Weiss;WeissSW 12.6 (Sm 66);;D-As / 7 - D-Dl2841-3 / 140 - GB-LblAdd30387 / 54v - A-Wn18829 / 25v;
Conc_69;;;;D-As / 50.02 - D-As / 56.04;
Conc_70;A.Falckenhagen;;;D-As / 50.04 - D-As / 56.10 (1) - D-Ngm25461-2 / 19r - FalckenhagenPartite / 16;
Conc_71;A.Falckenhagen;;;D-As / 50.05 - D-As / 56.10 (2) - FalckenhagenPartite / 22;
Conc_72;;;;D-As / 50.06 - D-As / 56.08;
Conc_73;B.Hagen;;;D-As / 50.07 - D-As / 56.09;
Conc_74;;;;D-As / 50.08 - D-As / 56.06;
Conc_75;;;;D-As / 50.09 (Polonoise) - D-As / 56.12;
Conc_76;;;;D-As / 51.10 - D-As / 56.13;
Conc_77;;;;D-As / 50.11 (1) - D-As / 56.51;
Conc_78;;;;D-As / 50.11 (2) - D-As / 56.52;
Conc_79;B.Hagen;;;D-As / 50.12 - D-As / 56.14;
Conc_80;Arne;;;D-As / 52.01v - D-As / 56.22;
Conc_81;B.Hagen;;;D-As / 52.02v - D-As / 56.70;
Conc_82;B.Hagen;;;D-As / 52.03r - D-As / 56.71;
Conc_83;Kleinknecht;;;D-As / 52.03v - D-As / 56.28 (Aria) - D-Ngm25461-2 / 17v;
Conc_84;Kleinknecht;;;D-As / 52.04r - D-As / 56.29 (Aria);
Conc_85;Ch.Mouton;CLFMou, N°7bis;;D-As / 52.05v - F-Pn823 / 92v - MoutonI / 16 - GB-Ob617 / 12 - GB-Ob576 / 104 - CZ-PnmE36 / 152 - F-B279152 / 37 - S-LuG34 / 48r;
Conc_86;B.Hagen;;;D-As / 52.09v - D-As / 56.60;
Conc_87;Geminiani;;;D-As / 52.10r (2) - D-As / 56.61;
Conc_88;;;;D-As / 56.26 - D-As / 56.50;
Conc_89;;;TREE Ed. Klosterneuburg Lute Book (Michael Treder);A-KN1255 / 37v - A-KlmVogl / 10v (gt) - A-KR82a / 80v - S-Ssmf2 / 10v;
Conc_90;Gallot / Lully;CLFGal, N°10 - LWV14/2;;Ballet de l'Impatience (LWV14/2) - GB-Balcarres / 19 (Belle heureuse) - GB-Balcarres / 82 (Belle heureuse) - A-Wengel / 8 (5, a moll)) - A-Wengel / 10 (1, g moll) - A-ETgoëssII / 10v (g moll) - D-LEm6-24 / 102v (g moll) - GB-LblSloane2923 / 8v (a moll) - GB-LblSloane2923 / 11r (a moll) - GB-LblSloane2923 / 23v (g moll) - PL-Lw1985 / 44v (g moll) - F-Pn1106 / 78 - GB-LANh / F2v (d moll) - F-B279152 / 221 (d moll) - GB-Mr / 28 (g moll) - F-Pn48 / 105v - S-LuG28 / 15v (v) - S-Sk228 / 20v (kb) - S-SK493a / 7v (kb) - S-SK493b / 36v (kb, gt) - S-Uu284 / 115 (kb) - RogerON(2)1703 / 12 (4);
Conc_91;Ch.Mouton;CLFMou, N°112;;GB-Balcarres / 83 (in C dur) - US-CAh174 / 48 (in G dur) - F-Pn6214 / 57v (in C dur);
Conc_92;Pinel or Ch.Mouton;CLFPin, N°86 - CLFMou, N°113;;"GB-Balcarres / 84 - D-B40068 / 47v - S-Klm21068 / 3r - S-LuG37 / 2v - PL-LZu3779 / 11r - GB-LblAdd16889 / 97v - F-Pn823 / 28r - GB-Ob576 / 38 - F-Pn6214 / 3r - D-SWl_641 / 4 - A-Wengel / 5 (also ""Branle des Frondeurs"") - D-Mbs21646 / 8v (3) - D-SWl_640 / 39 (Angélique) - CZ-BsaE4-1040 / 11v (theorb cister) - B-Gu3898-2 / 19v - A-Wn17706 / 12r - Polinski / 5 - US-Rm125 / 55r - GB-ObSch94 / 100v (4) - S-K4a / 15v (kb) - S-K8 / 6 (kb) - S-K4b / 28v (kb) - S-LuWas / 77v (kb) - S-LuA3 / 32v (kb) - S-SK493a / 50v (kb) - S-SK493a / 99v (kb) - S-Uu286 / 2v (kb) - S-ÖS174 / 1v (kb) - S-LuG28 / 77r (v) - S-Skma3 / 82v";
Conc_93;Du But;CLFDub, N°105;;GB-Balcarres / 85 (2) - D-Gs84k / 36v - GB-Mr / 15;
Conc_94;J.Gallot;CLFGal p.XLII;;GB-Balcarres / 86 (d moll) - D-LEm6-24 / 196v - PL-Lw1985 / 32r;
